"cve","product","affected_version_statement","historical_remediation","kev_state","kev_added","kev_checked","epss_state","epss_probability","epss_date","source_urls","prerequisites","local_assessment_required","information_cutoff"
"CVE-2026-60004","Gitea",">=1.17, <1.27.1","1.27.1","listed","2026-08-25","2026-09-10","not-collected","","","https://github.com/go-gitea/gitea/security/advisories/GHSA-rcr6-4jqh-j84m | https://raw.githubusercontent.com/cisagov/kev-data/main/known_exploited_vulnerabilities.json","Repository write access | Git 2.32 or newer | Enabled diffpatch route | Writable and executable temporary filesystem","true","2026-09-10"
"CVE-2023-49105","ownCloud Server","core 10.6.0 through 10.13.0 in the specific advisory","10.13.3 (vendor remediation notice) or vendor patch","listed","2026-08-27","2026-09-10","not-collected","","","https://owncloud.com/security-advisories/webdav-api-authentication-bypass-using-pre-signed-urls/ | https://owncloud.com/blogs/immediate-action-required-critical-security-updates-for-owncloud/ | https://raw.githubusercontent.com/cisagov/kev-data/main/known_exploited_vulnerabilities.json","Known username | No signing key configured for the account","true","2026-09-10"
